id,start,label,comm_tkn,gender,business_type,bal,vol_trans_in,vol_trans_out,n_trans_in,n_trans_out
0x7724fa63097c4c172e7c623987e6f6ee4c360f6c,2019-04-09T13:27:35+03:00,1876,MIYANI,Female,Food,75,1368.764821552565,1293.7537610465954,14,18
0x1d8a2ea03d6147b8e1f24c46a9a771a695fa9624,2019-04-09T21:10:50+03:00,1877,ZENI,Female,Energy,66,2660.0,2594.0,12,24
0x76c1a9392217c7188e8f509be04cbe7af89a0810,2019-04-12T16:31:25+03:00,1878,ZENI,Female,Food,6320,68502.00295051915,62182.0,585,256
0xc4a0e12b85be49359de5928bf43008e053d1dbff,2019-06-05T17:33:40+03:00,1879,ZENI,Female,Labour,360,610.2206267486938,200.0,5,1
0xbd8dfd9eb7ece9a35a77eed91e5993db4d0b9933,2019-04-09T21:09:40+03:00,1880,ZENI,Female,Transport,57,3392.504502528178,3335.0,33,27
0x73b6274b9f75eea7b725af21084f2e14b9a54b2a,2019-04-09T14:03:00+03:00,1881,MIYANI,Male,Water,118,3359.9725527872297,3241.448506369589,22,22
0xd73b3e32b9174c2a0dfa3a501187d5797792c909,2019-04-09T21:11:05+03:00,1882,ZENI,Female,Food,214,4436.6050411295455,4222.0,22,36
0x236c72f1065609d0624a00c89382a44d0c8e9907,2019-04-09T21:15:00+03:00,1883,ZENI,Male,Food,0,1236.7579265906688,1093.0,15,14
0x6a15edf02bf9b1573bdf6b7b052ac5a886e29dd9,2019-04-11T08:28:15+03:00,1884,ZENI,Female,Food,499,5161.0698580302,4662.0,26,33
0x616f02ccce7b9b4da4bc40d9c81e350b464946e4,2019-04-09T21:12:30+03:00,1885,MIYANI,Female,Food,5065,21074.28296324137,16009.198459797415,62,51
0xa28689a0164db81d765419834330cfb1a3e3162f,2019-04-12T21:28:15+03:00,1886,ZENI,Female,Food,447,1292.4005238002865,845.0,10,8
0xd34a36da9b78f4ebe55941f7e597e566e3ac5436,2019-04-09T20:05:30+03:00,1887,MIYANI,Female,General shop,426,3839.844056226777,3625.719529697706,25,27
0x224ff8d0b17569a3d367c7fb2e3a176f8790f6dc,2019-04-09T21:16:25+03:00,1888,ZENI,Female,Food,66,2003.4936917480281,1937.0,18,23
0x6715592788ee5acc2a5563a4f6e90a4c85161dd8,2019-04-12T17:27:45+03:00,1889,ZENI,Female,Labour,382,842.0,410.0,20,10
0xba06d8ba46a55affd45bb25838af8a05b5bf4758,2019-04-13T10:50:10+03:00,1890,ZENI,Female,Food,365,2090.0,1725.0,13,15
0xc3efe40c5649c3f41d917e86e471a9c256a8fc15,2019-04-09T21:14:30+03:00,1891,MIYANI,Male,Labour,100,500.2552432328797,400.0,4,5
0x960c1688ab02ea2e4becabe40a1f5ec0810ae2b1,2019-04-12T19:40:30+03:00,1892,ZENI,Female,Energy,14,2732.5477476446786,2718.0,11,20
0xc46e6b0ffc6a9cc92d779f84dfeb9214495814c0,2019-04-09T14:55:10+03:00,1893,LINDI,Female,Food,360,1198.635452838153,838.0,13,13
0x69f1fb99ea658334933184b3b135dbc61242c01e,2019-04-09T19:39:20+03:00,1894,MIYANI,Female,Food,311,5270.904005181908,4959.100084101429,27,33
0x100ec44c2d9318dec5d267b08c09c86120daed47,2019-04-09T21:16:25+03:00,1895,ZENI,Male,Labour,336,1171.0,835.0,15,15
0xf21c3e952996117c406150ccb59e0c25e036d116,2019-04-09T21:18:30+03:00,1896,ZENI,Female,Labour,50,1384.0,1334.0,13,9
0x9437d3f84f0ea5d90dac4f8073665c3aca667174,2019-04-09T21:17:50+03:00,1897,ZENI,Female,Food,56,510.0,404.0,4,2
0x05f8127afe5b1c17a80c9b5f23ceb16e28979bce,2019-04-10T08:54:05+03:00,1898,ZENI,Female,Energy,56,510.0,454.0,4,3
0x37b85c8f8c44e461ed5528eeb726f4c26f692496,2019-04-10T13:11:55+03:00,1899,ZENI,Female,Water,1,1131.3343959971655,1130.0,6,4
0xa0d3ce15947b6db4a67fd34e44702c6f62ac27e0,2019-04-11T12:44:15+03:00,1900,ZENI,Female,Food,58,1138.4588371452446,1080.0,6,3
0x567893fffc1a872aa8ba581c2d3146f54f989199,2019-04-10T19:34:25+03:00,1901,ZENI,Female,Food,53,1843.3625190608755,1790.0,12,14
0x7122dadc12afee894b76dc5d30b8f06994c1439e,2019-04-09T21:19:05+03:00,1902,MIYANI,Female,Food,351,5441.608819452126,5089.874555671422,20,24
